CIP;NOM;P VENTE;P ACHAT;REMISE;TVA;FAMILLE;EMPLACEMT;STOCK;SEUIL;QTE REAPPRO
101290;GENOU PLAYFIT;4000;2500;0;0;0;18;0;0;0
103777;MORINGA OLIEFERA PDRE B/52G             ;3445;2281;0;1;0;64;0;0;0
108105;BELLADONA GRAN 9CH                      ;1250;828;0;0;0;64;0;0;0
108813;ON CALL PLUS KIT LECT GLYCEMIE;28320;18600;0;1;0;18;1;0;0
111156;AGIFEN 5% GEL T/50G;2220;1450;0;0;0;6;1;0;0
121306;FUNGISTOP 150 MG CP B/1;2300;1523;0;0;0;30;0;0;0
122872;URIAGE EAU MICEL TH PMG 500ML;9980;6608;0;1;0;19;1;0;0
123456;AMLODIPINE NOVARTIS ACC 5MG B/30;3070;2034;0;0;0;28;3;2;3
123544;ORAB D CP;5695;3761;0;0;0;32;1;0;0
124555;BONBON SUCETTE 50FRS;50;50;0;0;0;41;0;1;1
124563;EAU CELESTE ;100;40;0;0;0;41;0;2;2
124578;REGILAIT VITAMILK 300G;2800;2500;0;0;0;3;3;0;0
124885;DIGEREX SP ;2065;1368;0;0;0;26;1;0;0
125346;TRIOVARSAN 10/25/160;14810;9805;0;0;0;21;1;0;0
130636;DERMAZOL CREME;1655;1095;0;0;0;6;3;0;0
136485;VASKOL 20MG CP B/30                     ;14280;9456;0;0;0;21;0;0;0
138106;BRYONIA GRAN 9CH*B*                     ;1195;791;0;0;0;64;0;1;2
144512;SOND FOL CH18 MIX BAL ;940;620;0;1;0;18;0;0;0
145522;BACTILAIT CREME;2500;1700;0;0;0;6;4;0;0
145550;BONBON 25FRS;25;20;0;0;0;41;0;0;0
152830;A.CERUMEN 10 UNIDOSES DE 2ML            ;2690;1804;0;1;0;1;0;0;0
153536;ZIMAX 500MG B/3                         ;3965;2625;0;0;0;74;0;0;0
159910;SECUVIT CAPS BT/30;2935;1943;0;0;0;21;2;0;0
168400;OMEPRAZOLE BIO GELU 20MG BT28;2895;1897;0;0;0;32;0;0;0
180108;CAUSTICUM GRAN 9CH                      ;1250;828;0;0;0;64;0;0;0
180120;CAUSTICUM DOSE 15CH                     ;1045;692;0;0;0;62;0;0;0
180895;XEROLYS 10 EMULSION SOIN EMOLLIENT LONGUE DUREE PEAU SECHE F/200ML;10970;7593;0;1;0;19;1;0;0
